CreditScore,Age,Tenure,Balance,NumOfProducts,HasCrCard,IsActiveMember,EstimatedSalary,Rating,Exited,Geography,Gender
834.0,49.0,6.0,0.0,2.0,1.0,0.0,81999.53,4,0,Paris-France,Male
632.0,32.0,5.0,0.0,2.0,1.0,1.0,105817.87,4,0,Paris-France,Male
746.0,33.0,7.0,0.0,2.0,1.0,1.0,178067.33,-3,0,Paris-France,Male
797.0,55.0,0.0,99208.46,2.0,0.0,1.0,62402.38,2,1,Madrid-Spain,Female
753.0,36.0,9.0,128518.98,,1.0,0.0,44567.83,-2,0,Paris-France,Female
749.0,50.0,5.0,132576.25,1.0,1.0,0.0,125939.18,-1,1,Berlin-Germany,Male
413.0,28.0,3.0,130969.77,2.0,1.0,1.0,158891.79,4,0,Berlin-Germany,Male
611.0,45.0,0.0,0.0,2.0,,0.0,82403.08,-4,0,Madrid-Spain,Male
752.0,37.0,6.0,0.0,2.0,0.0,0.0,1187.88,3,0,Paris-France,Male
551.0,31.0,9.0,,2.0,0.0,1.0,91565.25,-3,1,Berlin-Germany,Male
747.0,58.0,9.0,,1.0,1.0,0.0,45414.12,-2,1,Berlin-Germany,Male
714.0,52.0,8.0,0.0,2.0,1.0,1.0,147815.19,1,0,Paris-France,Male
683.0,,4.0,114779.35,1.0,0.0,0.0,183171.47,-1,0,Paris-France,Male
684.0,31.0,,142293.54,3.0,1.0,0.0,146650.6,1,1,Berlin-Germany,Female
696.0,27.0,5.0,0.0,2.0,0.0,0.0,181499.77,3,0,Paris-France,Female
773.0,36.0,8.0,77253.22,2.0,1.0,1.0,35817.97,-5,0,Paris-France,Male
591.0,35.0,10.0,101099.9,1.0,1.0,0.0,195692.3,3,0,Berlin-Germany,Female
488.0,34.0,5.0,154737.88,2.0,0.0,1.0,172638.13,1,0,Berlin-Germany,Male
685.0,31.0,10.0,122449.31,2.0,1.0,1.0,180769.55,4,0,Madrid-Spain,Male
579.0,39.0,6.0,160541.0,2.0,1.0,1.0,,3,0,Paris-France,Unknown
607.0,26.0,1.0,0.0,2.0,1.0,0.0,29818.2,-1,0,Paris-France,Male
742.0,29.0,8.0,92219.41,1.0,1.0,1.0,132468.76,-5,0,Paris-France,Female
611.0,25.0,7.0,131344.52,1.0,0.0,,24677.54,-5,0,Paris-France,Male
677.0,31.0,3.0,0.0,2.0,1.0,1.0,182633.63,4,0,Paris-France,Female
461.0,40.0,6.0,122314.64,1.0,1.0,0.0,,4,1,Paris-France,Female
753.0,37.0,8.0,0.0,1.0,1.0,1.0,168816.35,-4,0,Madrid-Spain,Male
634.0,,1.0,0.0,1.0,1.0,0.0,73883.56,0,1,Paris-France,Female
647.0,34.0,9.0,132439.99,1.0,1.0,,177747.72,2,0,Madrid-Spain,Male
577.0,36.0,3.0,112668.48,1.0,1.0,,171344.02,-2,0,Paris-France,Male
809.0,31.0,5.0,0.0,2.0,1.0,0.0,122782.5,-4,0,Paris-France,Male
686.0,45.0,4.0,0.0,1.0,1.0,0.0,155023.93,-5,1,Paris-France,Female
633.0,29.0,6.0,0.0,2.0,1.0,0.0,93874.67,2,0,Paris-France,Female
494.0,36.0,6.0,0.0,1.0,1.0,1.0,95583.52,2,0,Paris-France,Female
699.0,31.0,7.0,0.0,2.0,1.0,0.0,171922.92,-3,0,Paris-France,Male
668.0,38.0,4.0,131136.97,2.0,,1.0,93713.83,-5,0,Berlin-Germany,Male
703.0,37.0,1.0,0.0,2.0,1.0,1.0,166850.97,4,0,Paris-France,Unknown
663.0,54.0,6.0,0.0,1.0,1.0,1.0,170950.58,0,1,Paris-France,Female
756.0,41.0,3.0,124439.49,2.0,1.0,1.0,47093.11,-3,0,Berlin-Germany,Male
648.0,56.0,0.0,110939.3,1.0,,1.0,92927.42,2,1,Madrid-Spain,Male
599.0,35.0,8.0,0.0,2.0,1.0,1.0,59816.41,1,0,Madrid-Spain,Male
678.0,43.0,8.0,129845.53,1.0,0.0,0.0,120853.51,2,1,Berlin-Germany,Female
563.0,43.0,7.0,146425.31,1.0,1.0,0.0,139435.54,-5,0,Paris-France,Male
682.0,34.0,5.0,126731.71,1.0,1.0,0.0,153870.58,4,1,Berlin-Germany,Female
620.0,46.0,8.0,177799.83,1.0,1.0,1.0,45414.09,-1,0,Paris-France,Male
721.0,30.0,9.0,0.0,2.0,,1.0,177747.05,-3,0,Madrid-Spain,Male
652.0,40.0,0.0,0.0,2.0,0.0,0.0,145593.85,-2,0,Paris-France,Male
535.0,34.0,3.0,123575.51,2.0,1.0,1.0,121525.48,-1,0,Paris-France,Male
584.0,26.0,1.0,127539.9,2.0,0.0,0.0,82712.53,0,0,Berlin-Germany,Male
701.0,35.0,2.0,0.0,,0.0,0.0,170996.86,-4,0,Madrid-Spain,Female
577.0,42.0,2.0,127539.97,1.0,1.0,1.0,85412.28,1,0,Paris-France,Male
663.0,34.0,1.0,131569.63,1.0,1.0,1.0,158071.69,2,0,Berlin-Germany,Female
640.0,50.0,1.0,0.0,2.0,0.0,1.0,13906.34,4,0,Madrid-Spain,Male
711.0,36.0,1.0,139422.39,1.0,1.0,0.0,44965.44,1,0,Madrid-Spain,Male
707.0,38.0,5.0,106920.91,1.0,0.0,,52404.47,-3,1,Berlin-Germany,Female
631.0,31.0,1.0,141859.12,1.0,1.0,1.0,74532.02,1,0,Paris-France,Male
637.0,,1.0,0.0,1.0,0.0,1.0,181490.42,1,0,Madrid-Spain,Male
622.0,29.0,9.0,0.0,2.0,1.0,1.0,155786.39,-4,0,Paris-France,Unknown
494.0,30.0,3.0,85704.95,1.0,1.0,0.0,27886.06,-3,0,Paris-France,Male
775.0,20.0,6.0,109026.6,1.0,1.0,1.0,120801.65,0,0,Paris-France,Female
817.0,31.0,7.0,117799.28,1.0,1.0,1.0,182372.35,1,0,Paris-France,Female
703.0,38.0,,0.0,2.0,1.0,1.0,170886.87,4,0,Paris-France,Male
592.0,32.0,7.0,0.0,2.0,1.0,1.0,140941.47,-2,0,Madrid-Spain,Unknown
743.0,37.0,2.0,132627.51,1.0,1.0,0.0,183566.87,1,1,Berlin-Germany,Male
726.0,26.0,5.0,0.0,2.0,1.0,0.0,52449.97,-3,1,Paris-France,Female
431.0,37.0,4.0,0.0,2.0,1.0,1.0,171344.06,4,0,Paris-France,Male
571.0,50.0,4.0,0.0,1.0,1.0,0.0,145567.36,-5,1,Paris-France,Unknown
588.0,30.0,10.0,126683.4,1.0,1.0,1.0,131636.55,2,0,Berlin-Germany,Male
659.0,39.0,0.0,107042.74,,1.0,0.0,102284.2,-1,1,Madrid-Spain,Female
743.0,43.0,2.0,161807.18,2.0,,1.0,93228.86,4,0,Madrid-Spain,Male
639.0,43.0,7.0,123873.52,1.0,1.0,1.0,51113.17,-4,0,Berlin-Germany,Female
618.0,35.0,5.0,133476.09,1.0,0.0,1.0,154843.4,1,0,Madrid-Spain,Male
722.0,40.0,8.0,0.0,2.0,1.0,0.0,152843.53,1,0,Paris-France,Male
712.0,25.0,5.0,121789.63,2.0,1.0,1.0,79458.73,1,0,Paris-France,Female
672.0,28.0,5.0,90612.34,1.0,1.0,1.0,149139.13,0,0,Paris-France,Female
804.0,39.0,0.0,117468.64,1.0,0.0,0.0,,2,0,Paris-France,Male
682.0,46.0,10.0,0.0,2.0,0.0,0.0,109184.24,2,0,Paris-France,Female
730.0,27.0,5.0,,2.0,1.0,0.0,133537.53,-5,0,Paris-France,Male
506.0,,8.0,0.0,2.0,1.0,0.0,53534.8,-4,0,Paris-France,Female
749.0,38.0,6.0,0.0,2.0,1.0,0.0,166468.28,2,0,Paris-France,Male
569.0,,3.0,0.0,1.0,0.0,0.0,119996.68,-1,1,Paris-France,Male
553.0,21.0,3.0,137553.29,2.0,1.0,0.0,52327.57,-2,0,Berlin-Germany,Female
681.0,58.0,9.0,130147.98,2.0,0.0,0.0,118749.58,3,1,Berlin-Germany,Male
558.0,47.0,0.0,0.0,1.0,1.0,1.0,118740.69,-3,1,Paris-France,Male
507.0,36.0,8.0,139979.07,2.0,1.0,0.0,65567.91,-4,0,Berlin-Germany,Female
594.0,35.0,2.0,185732.59,1.0,1.0,1.0,155843.48,-2,0,Paris-France,Male
796.0,23.0,3.0,146584.19,2.0,0.0,0.0,125445.8,0,1,Madrid-Spain,Female
615.0,40.0,10.0,0.0,1.0,1.0,0.0,125870.78,-2,1,Paris-France,Female
619.0,28.0,2.0,0.0,1.0,1.0,0.0,193880.6,-2,0,Paris-France,Male
471.0,28.0,1.0,0.0,1.0,1.0,0.0,95890.96,3,0,Madrid-Spain,Male
434.0,29.0,1.0,,2.0,1.0,1.0,152880.5,4,0,Berlin-Germany,Male
706.0,30.0,5.0,0.0,2.0,1.0,1.0,80425.65,-5,0,Madrid-Spain,Male
758.0,46.0,2.0,0.0,1.0,1.0,,173486.39,0,1,Paris-France,Female
611.0,48.0,2.0,0.0,1.0,0.0,1.0,161435.02,4,1,Paris-France,Female
762.0,29.0,8.0,0.0,2.0,1.0,0.0,43075.7,-2,0,Paris-France,Male
635.0,36.0,2.0,,2.0,1.0,1.0,93835.64,-5,0,Paris-France,Male
706.0,42.0,8.0,0.0,2.0,1.0,0.0,167778.61,-3,0,Paris-France,Female
630.0,38.0,8.0,0.0,2.0,1.0,0.0,76614.41,2,0,Madrid-Spain,Female
709.0,37.0,1.0,0.0,2.0,1.0,1.0,170819.17,-3,0,Paris-France,Female
661.0,34.0,0.0,0.0,,1.0,1.0,121299.65,1,0,Paris-France,Male
633.0,52.0,3.0,103421.8,1.0,0.0,0.0,82298.81,-4,1,Berlin-Germany,Female
682.0,34.0,5.0,102025.32,1.0,0.0,0.0,96542.0,-4,0,Madrid-Spain,Male
683.0,32.0,2.0,0.0,1.0,0.0,0.0,125518.32,-3,0,Paris-France,Male
644.0,43.0,9.0,89800.14,1.0,0.0,0.0,162699.8,-4,0,Madrid-Spain,Male
579.0,59.0,7.0,0.0,2.0,1.0,1.0,87067.73,1,0,Paris-France,Female
731.0,33.0,6.0,0.0,2.0,1.0,0.0,109041.53,2,0,Paris-France,Female
611.0,37.0,6.0,0.0,2.0,1.0,0.0,149991.32,0,0,Paris-France,Male
592.0,47.0,5.0,140700.61,1.0,0.0,1.0,133501.45,0,1,Berlin-Germany,Female
571.0,32.0,2.0,131354.25,1.0,1.0,0.0,125256.53,4,0,Paris-France,Female
748.0,28.0,7.0,133658.24,1.0,1.0,1.0,77951.84,4,0,Berlin-Germany,Female
613.0,37.0,3.0,0.0,2.0,0.0,1.0,142996.89,-1,0,Paris-France,Male
773.0,43.0,10.0,80673.96,1.0,1.0,0.0,72678.75,-5,1,Paris-France,Male
731.0,23.0,8.0,0.0,2.0,0.0,0.0,167723.25,1,0,Paris-France,Male
727.0,26.0,8.0,0.0,2.0,1.0,1.0,193008.52,-5,0,Paris-France,Male
649.0,43.0,8.0,91711.66,1.0,1.0,1.0,146411.25,-2,1,Madrid-Spain,Female
684.0,26.0,8.0,,2.0,1.0,0.0,164074.89,-5,0,Paris-France,Female
681.0,34.0,5.0,127864.4,1.0,1.0,,93829.73,4,0,Paris-France,Male
835.0,37.0,4.0,0.0,1.0,0.0,0.0,158043.11,0,1,Paris-France,Female
639.0,27.0,2.0,0.0,2.0,1.0,1.0,81753.92,0,0,Paris-France,Male
587.0,32.0,8.0,125445.04,2.0,,,130514.78,-2,0,Berlin-Germany,Female
765.0,36.0,8.0,92310.54,,1.0,1.0,72924.56,-3,1,Berlin-Germany,Female
632.0,42.0,7.0,131345.26,,0.0,1.0,100101.06,-2,1,Berlin-Germany,Female
667.0,39.0,3.0,0.0,2.0,1.0,0.0,143622.31,-1,0,Madrid-Spain,Male
648.0,33.0,0.0,170228.59,1.0,1.0,1.0,15658.99,3,0,Paris-France,Male
479.0,58.0,2.0,131644.0,1.0,1.0,,152733.89,3,1,Berlin-Germany,Female
727.0,28.0,5.0,0.0,2.0,0.0,0.0,131763.67,-4,0,Paris-France,Male
,25.0,3.0,0.0,2.0,0.0,1.0,125794.83,-3,0,Madrid-Spain,Female
684.0,,1.0,121240.54,2.0,1.0,0.0,142514.28,3,0,Berlin-Germany,Male
850.0,,8.0,0.0,2.0,1.0,1.0,71865.31,3,0,Madrid-Spain,Female
674.0,28.0,7.0,0.0,1.0,1.0,0.0,151925.25,-1,0,Paris-France,Male
613.0,49.0,2.0,0.0,1.0,1.0,0.0,131752.04,-3,1,Paris-France,Male
594.0,51.0,2.0,0.0,2.0,1.0,1.0,75860.01,-5,1,Paris-France,Male
712.0,43.0,4.0,0.0,2.0,0.0,0.0,117038.96,-4,0,Paris-France,Female
715.0,46.0,2.0,0.0,1.0,1.0,0.0,116471.26,-5,1,Madrid-Spain,Female
655.0,24.0,3.0,110581.29,2.0,0.0,0.0,128528.61,2,0,Berlin-Germany,Female
706.0,38.0,7.0,0.0,2.0,,0.0,933.38,1,0,Paris-France,Female
723.0,41.0,6.0,0.0,2.0,1.0,1.0,64375.4,4,0,Paris-France,Female
590.0,38.0,9.0,125847.75,1.0,1.0,0.0,73679.61,4,0,Paris-France,Male
539.0,30.0,1.0,0.0,2.0,1.0,0.0,152577.28,-3,0,Paris-France,Female
615.0,38.0,3.0,141581.08,1.0,1.0,0.0,177524.19,0,0,Paris-France,Female
788.0,31.0,10.0,0.0,2.0,1.0,0.0,116111.51,-1,0,Paris-France,Male
359.0,44.0,6.0,128747.69,1.0,0.0,1.0,146955.71,-4,0,Unknown,Female
753.0,43.0,1.0,0.0,2.0,1.0,0.0,82867.55,4,0,Paris-France,Female
667.0,32.0,9.0,120108.76,1.0,1.0,0.0,,0,0,Paris-France,Male
660.0,33.0,0.0,83036.05,1.0,0.0,0.0,154990.58,-1,1,Paris-France,Female
517.0,44.0,3.0,80958.36,1.0,1.0,0.0,98178.57,4,0,Paris-France,Male
740.0,33.0,4.0,0.0,2.0,1.0,1.0,85016.64,-2,0,Madrid-Spain,Female
684.0,32.0,8.0,0.0,1.0,1.0,0.0,187955.74,3,0,Paris-France,Male
663.0,36.0,7.0,0.0,1.0,0.0,0.0,113096.55,-2,0,Paris-France,Female
694.0,37.0,8.0,0.0,2.0,0.0,0.0,128918.42,3,0,Madrid-Spain,Female
696.0,37.0,2.0,0.0,2.0,1.0,1.0,114035.72,-2,0,Paris-France,Male
721.0,34.0,1.0,0.0,2.0,1.0,1.0,183492.9,3,0,Madrid-Spain,Female
578.0,38.0,9.0,0.0,2.0,,0.0,61290.99,-1,0,Paris-France,Male
632.0,43.0,2.0,100013.51,2.0,1.0,0.0,24275.32,-2,0,Paris-France,Male
674.0,51.0,0.0,0.0,4.0,0.0,1.0,145562.4,-2,1,Madrid-Spain,Male
610.0,30.0,2.0,0.0,2.0,1.0,1.0,176780.38,0,0,Paris-France,Female
663.0,33.0,2.0,0.0,2.0,1.0,0.0,138547.22,2,0,Madrid-Spain,Female
718.0,42.0,8.0,0.0,1.0,1.0,0.0,126561.07,-1,1,Paris-France,Male
678.0,29.0,0.0,160579.17,2.0,0.0,1.0,18761.25,-4,0,Berlin-Germany,Female
765.0,32.0,1.0,118897.1,1.0,0.0,1.0,62972.13,2,0,Berlin-Germany,Female
627.0,33.0,1.0,93580.32,1.0,1.0,1.0,143881.96,4,0,Paris-France,Male
727.0,32.0,2.0,0.0,1.0,1.0,0.0,184514.01,-2,0,Paris-France,Male
705.0,26.0,3.0,0.0,1.0,1.0,1.0,5199.02,-3,0,Paris-France,Male
707.0,58.0,9.0,89685.92,2.0,0.0,1.0,126471.13,3,0,Paris-France,Male
542.0,33.0,8.0,125584.17,1.0,1.0,0.0,170634.49,-1,0,Berlin-Germany,Male
703.0,,8.0,0.0,1.0,1.0,0.0,163558.36,-5,1,Paris-France,Female
558.0,40.0,7.0,0.0,2.0,0.0,0.0,52327.57,4,0,Paris-France,Male
636.0,71.0,7.0,0.0,2.0,1.0,1.0,73585.18,-2,1,Madrid-Spain,Female
635.0,37.0,9.0,0.0,1.0,1.0,0.0,26389.62,-3,0,Madrid-Spain,Female
624.0,29.0,4.0,107839.9,2.0,1.0,1.0,75578.67,2,0,Berlin-Germany,Male
583.0,,9.0,129847.75,2.0,1.0,1.0,197325.4,2,0,Berlin-Germany,Male
703.0,50.0,3.0,98862.54,1.0,0.0,0.0,151516.7,-4,1,Berlin-Germany,Female
590.0,37.0,6.0,0.0,2.0,1.0,1.0,72462.25,-1,0,Paris-France,Male
718.0,,8.0,0.0,2.0,1.0,0.0,70810.8,2,0,Paris-France,Male
601.0,27.0,0.0,0.0,2.0,0.0,1.0,102515.58,-3,0,Paris-France,Female
625.0,43.0,9.0,0.0,2.0,0.0,0.0,56937.43,4,0,Paris-France,Male
645.0,40.0,9.0,124043.0,1.0,,1.0,187964.55,-2,0,Paris-France,Male
731.0,25.0,9.0,0.0,2.0,1.0,1.0,183872.88,4,0,Paris-France,Male
660.0,33.0,4.0,0.0,1.0,1.0,0.0,29664.45,-1,0,Madrid-Spain,Male
591.0,32.0,3.0,95900.04,2.0,1.0,0.0,171070.39,-2,0,Berlin-Germany,Male
678.0,33.0,2.0,182888.08,1.0,1.0,0.0,3061.0,-2,1,Paris-France,Male
596.0,40.0,7.0,0.0,2.0,1.0,0.0,91830.75,-5,0,Paris-France,Female
507.0,29.0,6.0,89349.47,2.0,0.0,0.0,180626.68,-5,0,Paris-France,Female
770.0,32.0,9.0,0.0,2.0,0.0,1.0,32683.88,-5,0,Paris-France,Female
756.0,20.0,2.0,0.0,2.0,1.0,1.0,,2,0,Paris-France,Male
695.0,56.0,5.0,0.0,3.0,0.0,0.0,85185.44,1,1,Madrid-Spain,Female
632.0,32.0,9.0,0.0,2.0,1.0,1.0,170819.01,3,0,Paris-France,Female
644.0,35.0,2.0,,3.0,1.0,1.0,94148.3,2,0,Paris-France,Male
633.0,30.0,10.0,0.0,2.0,1.0,0.0,79503.06,1,0,Paris-France,Male
707.0,,5.0,0.0,2.0,0.0,0.0,172601.74,-1,0,Paris-France,Female
682.0,,5.0,0.0,2.0,0.0,0.0,79577.33,-5,0,Paris-France,Female
632.0,26.0,10.0,136924.26,1.0,1.0,1.0,,-4,0,Paris-France,Male
662.0,35.0,2.0,0.0,2.0,1.0,1.0,54949.32,-4,0,Madrid-Spain,Male
682.0,33.0,9.0,0.0,2.0,1.0,1.0,149474.97,-5,0,Paris-France,Male
567.0,38.0,5.0,0.0,2.0,1.0,1.0,93953.84,-3,0,Paris-France,Unknown
744.0,53.0,8.0,108004.64,4.0,1.0,,140941.46,0,1,Berlin-Germany,Male
645.0,24.0,1.0,122532.35,1.0,1.0,0.0,170968.47,-5,0,Berlin-Germany,Male
773.0,26.0,3.0,,1.0,1.0,0.0,64511.44,2,0,Paris-France,Male
593.0,32.0,4.0,0.0,2.0,1.0,1.0,131953.94,1,0,Paris-France,Male
775.0,31.0,7.0,0.0,2.0,1.0,0.0,127433.47,-1,0,Paris-France,Male
749.0,24.0,4.0,100735.57,2.0,1.0,1.0,80190.36,4,1,Berlin-Germany,Female
625.0,31.0,3.0,138705.02,1.0,1.0,0.0,176728.28,-5,0,Paris-France,Male
706.0,41.0,4.0,148874.68,1.0,0.0,1.0,27468.12,-5,0,Paris-France,Male
635.0,40.0,7.0,106261.67,2.0,1.0,1.0,50774.01,0,0,Berlin-Germany,Female
595.0,41.0,3.0,86973.65,1.0,1.0,1.0,129955.54,1,0,Madrid-Spain,Female
699.0,47.0,1.0,,1.0,1.0,0.0,198817.72,0,1,Paris-France,Male
695.0,42.0,0.0,0.0,,0.0,1.0,140724.64,3,0,Paris-France,Female
711.0,45.0,9.0,91285.22,1.0,1.0,0.0,62825.03,1,0,Madrid-Spain,Female
736.0,36.0,6.0,0.0,2.0,1.0,1.0,61164.45,-1,0,Paris-France,Male
724.0,62.0,4.0,0.0,1.0,1.0,1.0,179913.54,-4,1,Paris-France,Female
667.0,44.0,2.0,144772.69,3.0,1.0,1.0,60906.12,2,1,Berlin-Germany,Male
685.0,29.0,0.0,142703.4,1.0,,0.0,113926.71,4,0,Paris-France,Male
681.0,50.0,1.0,125841.59,,1.0,1.0,115287.84,2,1,Berlin-Germany,Male
731.0,49.0,10.0,137494.28,1.0,1.0,0.0,92824.92,-5,1,Berlin-Germany,Female
611.0,57.0,5.0,128264.03,1.0,1.0,1.0,19150.14,4,1,Berlin-Germany,Female
683.0,41.0,2.0,0.0,2.0,1.0,0.0,119882.86,-2,0,Paris-France,Male
553.0,35.0,3.0,0.0,2.0,1.0,1.0,48505.1,-1,0,Madrid-Spain,Male
751.0,39.0,8.0,85982.89,1.0,1.0,0.0,94499.05,-5,1,Berlin-Germany,Male
595.0,32.0,5.0,0.0,1.0,0.0,0.0,105476.65,-4,1,Paris-France,Female
646.0,,8.0,160858.13,1.0,1.0,0.0,61936.22,4,1,Berlin-Germany,Female
670.0,35.0,5.0,123873.23,1.0,1.0,0.0,119759.24,-4,0,Paris-France,Female
741.0,38.0,7.0,0.0,2.0,0.0,1.0,,-5,1,Paris-France,Male
543.0,22.0,3.0,0.0,2.0,,0.0,127587.22,-2,0,Paris-France,Male
588.0,44.0,2.0,,2.0,0.0,0.0,86410.53,-2,0,Paris-France,Male
754.0,29.0,,139432.37,1.0,1.0,1.0,,-4,0,Berlin-Germany,Female
691.0,25.0,3.0,0.0,2.0,1.0,1.0,106837.06,-4,0,Paris-France,Female
678.0,22.0,6.0,157622.58,2.0,1.0,0.0,67961.87,-5,0,Berlin-Germany,Female
678.0,38.0,2.0,106942.08,1.0,1.0,1.0,4400.32,-5,0,Berlin-Germany,Female
676.0,34.0,5.0,89437.03,,1.0,0.0,189540.95,-3,1,Berlin-Germany,Female
641.0,41.0,9.0,0.0,2.0,1.0,0.0,53311.29,-2,0,Madrid-Spain,Male
714.0,40.0,4.0,0.0,2.0,1.0,1.0,122960.98,-2,0,Paris-France,Male
709.0,34.0,8.0,0.0,1.0,1.0,1.0,117828.96,0,0,Paris-France,Male
559.0,,7.0,131244.65,1.0,1.0,0.0,91763.67,-3,0,Berlin-Germany,Female
679.0,40.0,10.0,0.0,2.0,1.0,1.0,91622.44,-4,0,Paris-France,Male
663.0,28.0,3.0,142644.64,1.0,0.0,1.0,55868.97,-3,0,Paris-France,Female
644.0,,10.0,0.0,1.0,0.0,1.0,180142.42,3,0,Paris-France,Male
523.0,39.0,5.0,0.0,1.0,1.0,1.0,92455.96,-4,0,Madrid-Spain,Male
754.0,28.0,8.0,0.0,2.0,1.0,0.0,194930.3,-4,0,Paris-France,Female
621.0,32.0,7.0,0.0,2.0,1.0,1.0,126193.54,2,0,Paris-France,Female
659.0,39.0,8.0,123981.31,1.0,1.0,1.0,107890.35,-1,1,Berlin-Germany,Male
589.0,37.0,,0.0,2.0,1.0,0.0,66796.92,-2,0,Paris-France,Male
683.0,33.0,8.0,0.0,2.0,1.0,1.0,171378.77,-1,0,Paris-France,Female
639.0,33.0,3.0,0.0,2.0,1.0,1.0,168816.33,3,0,Paris-France,Female
850.0,39.0,8.0,151762.74,2.0,1.0,0.0,113946.59,-1,0,Berlin-Germany,Male
582.0,41.0,1.0,0.0,2.0,0.0,1.0,126477.41,-3,0,Paris-France,Female
727.0,35.0,9.0,140966.55,,1.0,1.0,179227.21,0,0,Berlin-Germany,Male
579.0,29.0,4.0,118342.26,2.0,0.0,1.0,161574.19,-4,0,Paris-France,Male
648.0,37.0,3.0,91718.9,1.0,1.0,1.0,79602.8,3,0,Berlin-Germany,Female
730.0,38.0,6.0,0.0,2.0,1.0,1.0,178361.04,4,0,Paris-France,Male
679.0,35.0,8.0,0.0,1.0,0.0,0.0,164453.98,1,1,Madrid-Spain,Female
744.0,62.0,7.0,0.0,3.0,1.0,1.0,83949.68,-4,1,Paris-France,Female
642.0,,1.0,160541.36,2.0,1.0,,142223.94,4,0,Paris-France,Male
699.0,59.0,2.0,131607.33,1.0,1.0,1.0,171645.31,-3,1,Madrid-Spain,Female
600.0,31.0,10.0,0.0,1.0,0.0,1.0,1710.89,-4,0,Paris-France,Male
732.0,37.0,1.0,0.0,1.0,0.0,1.0,150784.26,2,0,Madrid-Spain,Male
632.0,36.0,2.0,0.0,2.0,1.0,1.0,157527.6,3,0,Paris-France,Male
727.0,33.0,10.0,127822.93,1.0,1.0,1.0,62703.5,4,0,Madrid-Spain,Male
698.0,36.0,,0.0,2.0,1.0,1.0,13387.88,-1,0,Paris-France,Female
699.0,37.0,10.0,88915.85,1.0,1.0,1.0,77965.44,-1,0,Paris-France,Male
682.0,38.0,9.0,123974.69,,0.0,1.0,106763.58,-3,0,Paris-France,Female
648.0,40.0,8.0,92436.86,2.0,1.0,1.0,137963.0,-1,0,Berlin-Germany,Male
469.0,35.0,3.0,0.0,2.0,1.0,0.0,,-3,0,Paris-France,Female
431.0,66.0,1.0,120764.08,1.0,0.0,1.0,117023.08,0,0,Paris-France,Female
525.0,35.0,0.0,0.0,,0.0,0.0,131521.72,2,0,Paris-France,Female
